Name,symbol,address,owner,decimals,coingecko,logo
Matic Network,MATIC,https://etherscan.io/address/0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0x,18,https://www.coingecko.com/en/coins/matic-network,https://ethplorer.io/images/MATIC7d1afa7b.png
Enjin Coin,ENJ,https://etherscan.io/address/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0xde63aef60307655405835da74ba02ce4db1a42fb,18,https://www.coingecko.com/en/coins/enjincoin,https://ethplorer.io/images/ENJf629cbd9.png
Numeraire,NMR,https://etherscan.io/address/0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0x,18,https://www.coingecko.com/en/coins/numeraire,https://ethplorer.io/images/numerarie.png
KuCoin Shares,KCS,https://etherscan.io/address/0x039b5649a59967e3e936d7471f9c3700100ee1ab,0x,6,https://www.coingecko.com/en/coins/kucoin-shares,https://ethplorer.io/images/KCS039b5649.png
xDAI Stake,STAKE,https://etherscan.io/address/0x0ae055097c6d159879521c384f1d2123d1f195e6,0x0df05adac0159e215111696339ad4998e5871b3d,18,https://www.coingecko.com/en/coins/xdai-stake,https://ethplorer.io/images/STAKE0ae05509.png
Kleros,PNK,https://etherscan.io/address/0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,0x,18,https://www.coingecko.com/en/coins/kleros,https://ethplorer.io/images/PNK93ed3fbe.png
SAND,SAND,https://etherscan.io/address/0x3845badade8e6dff049820680d1f14bd3903a5d0,0x,18,https://www.coingecko.com/en/coins/the-sandbox,https://ethplorer.io/images/SAND3845bada.jpg
Chromia,CHR,https://etherscan.io/address/0x915044526758533dfb918eceb6e44bc21632060d,0x,6,https://www.coingecko.com/en/coins/chromaway,https://ethplorer.io/images/CHR91504452.png
Bit-Z Token,BZ,https://etherscan.io/address/0x4375e7ad8a01b8ec3ed041399f62d9cd120e0063,0x1852a809fe1701c279445c4a6a834c57ac707d67,18,https://www.coingecko.com/en/coins/bit-z-token,https://ethplorer.io/images/BZ4375e7ad.png
Meta,MTA,https://etherscan.io/address/0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,0x,18,https://www.coingecko.com/en/coins/meta,https://ethplorer.io/images/meta.png
QUEENBEE,QBZ,https://etherscan.io/address/0x9bbc9286cdf6eefebf21df19bac71c6bdd7759d4,0xd43b965df678179f08870720f2febf6b1c9383e2,18,https://www.coingecko.com/en/coins/queenbee,https://ethplorer.io/images/QBZ9bbc9286.jpg
MXC,MXC,https://etherscan.io/address/0x5ca381bbfb58f0092df149bd3d243b08b9a8386e,0x,18,https://www.coingecko.com/en/coins/mxc,https://ethplorer.io/images/MXC5ca381bb.png
Fetch.ai,FET,https://etherscan.io/address/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd,0x7cd9497b3da5de1eba948fa574c4de771124f1d9,18,https://www.coingecko.com/en/coins/fetch-ai,https://ethplorer.io/images/FET1d287cc2.jpg
PowerPool Concentrated Voting Power,CVP,https://etherscan.io/address/0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x,18,https://www.coingecko.com/en/coins/concentrated-voting-power,https://ethplorer.io/images/CVP38e4adb4.jpg
Orion Protocol,ORN,https://etherscan.io/address/0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,0x,8,https://www.coingecko.com/en/coins/orion-protocol,https://ethplorer.io
cUSDC,CUSDC,https://etherscan.io/address/0x39aa39c021dfbae8fac545936693ac917d5e7563,0x,8,https://www.coingecko.com/en/coins/compound-usd-coin,https://ethplorer.io/images/cusdc.png
Status,SNT,https://etherscan.io/address/0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x,18,https://www.coingecko.com/en/coins/status,https://ethplorer.io/images/status.png
BITICA COIN,BDCC,https://etherscan.io/address/0xc87f95aa269dd300d9f1ce49d8e1fd8119a10456,0xb047a2ef1f7788a533bf1e78c801f79e98f990cc,18,https://www.coingecko.com/en/coins/bitica-coin,https://ethplorer.io/images/BDCCc87f95aa.png
Linkeye,LET,https://etherscan.io/address/0xfa3118b34522580c35ae27f6cf52da1dbb756288,0x,6,https://www.coingecko.com/en/coins/linkeye,https://ethplorer.io/images/LETfa3118b3.png
YAMv2,YAMV2,https://etherscan.io/address/0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0x,24,https://www.coingecko.com/en/coins/yam-v2,https://ethplorer.io/images/YAMV2aba8cac6.png
Centrality,CENNZ,https://etherscan.io/address/0x1122b6a0e00dce0563082b6e2953f3a943855c1f,0x58f84edd5675e9763999501f52fdcdbb34029a68,18,https://www.coingecko.com/en/coins/centrality,https://ethplorer.io/images/CENNZ1122b6a0.png
Gemini Dollar,GUSD,https://etherscan.io/address/0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,0x,2,https://www.coingecko.com/en/coins/gemini-dollar,https://ethplorer.io/images/gemini.png
DexTools,DEXT,https://etherscan.io/address/0x26ce25148832c04f3d7f26f32478a9fe55197166,0x,18,https://www.coingecko.com/en/coins/idextools,https://ethplorer.io/images/DEXT26ce2514.jpg
Orchid Protocol,OXT,https://etherscan.io/address/0x4575f41308ec1483f3d399aa9a2826d74da13deb,0x,18,https://www.coingecko.com/en/coins/orchid-protocol,https://ethplorer.io/images/OXT4575f413.png
Bounce Token,BOT,https://etherscan.io/address/0x5beabaebb3146685dd74176f68a0721f91297d37,0xc6a34b2bf59baf984884a0cf4c84ed1541e710d7,18,https://www.coingecko.com/en/coins/bounce-token,https://ethplorer.io/images/BOT5beabaeb.jpeg
